age_group,gender,height_category,weight_category,gymorhome,goal,budget,diet_type,workout_plan,diet_plan
senior,male,short,normal,home,stamina,medium,non-vegetarian,Mon: Running in Place; Tue: Burpees; Wed: HIIT Cardio; Thu: HIIT Cardio; Fri: Jump Rope; Sat: Jump Rope; Sun: Bodyweight Circuit,Breakfast: Grilled Chicken + Rice; Lunch: Grilled Chicken + Rice; Snacks: Fruit + Nuts; Dinner: Egg Omelette + Toast; Breakfast2: Egg Omelette + Toast; Lunch2: Fruit + Nuts; Snacks2: Fish Soup + Veggies
young,female,short,obese,home,flexibility,medium,vegan,Mon: Pilates Mat; Tue: Balance Exercises; Wed: Mobility Drills; Thu: Pilates Mat; Fri: Yoga Flow; Sat: Yoga Flow; Sun: Balance Exercises,Breakfast: Salads + Tofu; Lunch: Veg Stir Fry + Rice; Snacks: Oatmeal + Soy Milk; Dinner: Veg Stir Fry + Rice; Breakfast2: Fruit + Almond Yogurt; Lunch2: Oatmeal + Soy Milk; Snacks2: Salads + Tofu
teen,male,short,obese,gym,muscle-gain,high,non-vegetarian,Mon: Deadlift; Tue: Bench Press; Wed: Deadlift; Thu: Pull-up Bar; Fri: Leg Press; Sat: Leg Press; Sun: Bench Press,Breakfast: Chicken Breast + Brown Rice; Lunch: Protein Shake + Nuts; Snacks: Protein Shake + Nuts; Dinner: Fish Stir Fry + Veggies; Breakfast2: Eggs + Quinoa; Lunch2: Chicken Breast + Brown Rice; Snacks2: Eggs + Quinoa
senior,female,short,overweight,home,weight-loss,high,vegetarian,Mon: High Knees; Tue: Bodyweight Circuit; Wed: Mountain Climbers; Thu: Mountain Climbers; Fri: Bodyweight Circuit; Sat: Jumping Jacks; Sun: High Knees,Breakfast: Lentil Soup + Veggies; Lunch: Oats + Skim Milk + Banana; Snacks: Lentil Soup + Veggies; Dinner: Vegetable Salad + Quinoa; Breakfast2: Fruit + Nuts; Lunch2: Fruit + Nuts; Snacks2: Vegetable Salad + Quinoa
teen,female,medium,underweight,home,muscle-gain,medium,vegetarian,Mon: Push-ups; Tue: Pull-ups; Wed: Lunges; Thu: Lunges; Fri: Squats; Sat: Resistance Bands; Sun: Resistance Bands,Breakfast: Paneer + Brown Rice; Lunch: Nuts + Smoothie; Snacks: Tofu Stir Fry + Veggies; Dinner: Tofu Stir Fry + Veggies; Breakfast2: Chickpeas + Quinoa; Lunch2: Chickpeas + Quinoa; Snacks2: Nuts + Smoothie
teen,male,tall,overweight,gym,muscle-gain,medium,vegetarian,Mon: Leg Press; Tue: Leg Press; Wed: Pull-up Bar; Thu: Bench Press; Fri: Squat Rack; Sat: Bench Press; Sun: Deadlift,Breakfast: Nuts + Smoothie; Lunch: Nuts + Smoothie; Snacks: Chickpeas + Quinoa; Dinner: Paneer + Brown Rice; Breakfast2: Tofu Stir Fry + Veggies; Lunch2: Chickpeas + Quinoa; Snacks2: Tofu Stir Fry + Veggies
middle,male,short,underweight,gym,muscle-gain,high,vegetarian,Mon: Pull-up Bar; Tue: Squat Rack; Wed: Bench Press; Thu: Pull-up Bar; Fri: Leg Press; Sat: Squat Rack; Sun: Deadlift,Breakfast: Chickpeas + Quinoa; Lunch: Paneer + Brown Rice; Snacks: Nuts + Smoothie; Dinner: Tofu Stir Fry + Veggies; Breakfast2: Nuts + Smoothie; Lunch2: Tofu Stir Fry + Veggies; Snacks2: Chickpeas + Quinoa
young,female,short,overweight,gym,weight-loss,high,vegetarian,Mon: Spinning; Tue: Rowing Machine; Wed: Spinning; Thu: Battle Ropes; Fri: Cross Trainer; Sat: Cross Trainer; Sun: Rowing Machine,Breakfast: Fruit + Nuts; Lunch: Vegetable Salad + Quinoa; Snacks: Lentil Soup + Veggies; Dinner: Lentil Soup + Veggies; Breakfast2: Oats + Skim Milk + Banana; Lunch2: Oats + Skim Milk + Banana; Snacks2: Vegetable Salad + Quinoa
teen,male,short,obese,home,flexibility,high,vegan,Mon: Pilates Mat; Tue: Yoga Flow; Wed: Stretching; Thu: Balance Exercises; Fri: Yoga Flow; Sat: Balance Exercises; Sun: Mobility Drills,Breakfast: Oatmeal + Soy Milk; Lunch: Fruit + Almond Yogurt; Snacks: Fruit + Almond Yogurt; Dinner: Veg Stir Fry + Rice; Breakfast2: Salads + Tofu; Lunch2: Salads + Tofu; Snacks2: Veg Stir Fry + Rice
young,female,short,normal,home,muscle-gain,medium,vegetarian,Mon: Squats; Tue: Pull-ups; Wed: Resistance Bands; Thu: Squats; Fri: Pull-ups; Sat: Resistance Bands; Sun: Lunges,Breakfast: Paneer + Brown Rice; Lunch: Nuts + Smoothie; Snacks: Nuts + Smoothie; Dinner: Chickpeas + Quinoa; Breakfast2: Chickpeas + Quinoa; Lunch2: Tofu Stir Fry + Veggies; Snacks2: Tofu Stir Fry + Veggies
senior,male,medium,underweight,home,weight-loss,medium,vegetarian,Mon: Bodyweight Circuit; Tue: High Knees; Wed: Mountain Climbers; Thu: High Knees; Fri: Burpees; Sat: Burpees; Sun: Jumping Jacks,Breakfast: Lentil Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Oats + Skim Milk + Banana; Dinner: Vegetable Salad + Quinoa; Breakfast2: Vegetable Salad + Quinoa; Lunch2: Fruit + Nuts; Snacks2: Oats + Skim Milk + Banana
middle,female,short,normal,home,stamina,low,vegan,Mon: Burpees; Tue: Running in Place; Wed: Jump Rope; Thu: Running in Place; Fri: Jump Rope; Sat: HIIT Cardio; Sun: Burpees,Breakfast: Smoothie Bowl; Lunch: Smoothie Bowl; Snacks: Veg Wrap + Rice; Dinner: Veggie Soup + Bread; Breakfast2: Veg Wrap + Rice; Lunch2: Fruit + Nuts; Snacks2: Fruit + Nuts
young,female,tall,obese,home,stamina,medium,vegan,Mon: HIIT Cardio; Tue: Burpees; Wed: Bodyweight Circuit; Thu: Bodyweight Circuit; Fri: HIIT Cardio; Sat: Running in Place; Sun: Jump Rope,Breakfast: Veggie Soup + Bread; Lunch: Fruit + Nuts; Snacks: Fruit + Nuts; Dinner: Smoothie Bowl; Breakfast2: Smoothie Bowl; Lunch2: Veg Wrap + Rice; Snacks2: Veggie Soup + Bread
teen,female,tall,overweight,home,muscle-gain,medium,vegan,Mon: Lunges; Tue: Squats; Wed: Resistance Bands; Thu: Lunges; Fri: Push-ups; Sat: Resistance Bands; Sun: Push-ups,Breakfast: Chickpeas + Brown Rice; Lunch: Tofu + Quinoa; Snacks: Tempeh Stir Fry + Veggies; Dinner: Nuts + Smoothie; Breakfast2: Tofu + Quinoa; Lunch2: Tempeh Stir Fry + Veggies; Snacks2: Nuts + Smoothie
young,female,tall,normal,home,stamina,low,vegetarian,Mon: HIIT Cardio; Tue: Burpees; Wed: Running in Place; Thu: Jump Rope; Fri: Running in Place; Sat: Bodyweight Circuit; Sun: Jump Rope,Breakfast: Vegetable Wraps + Rice; Lunch: Smoothie + Oats; Snacks: Smoothie + Oats; Dinner: Fruit + Nuts; Breakfast2: Vegetable Soup + Bread; Lunch2: Vegetable Soup + Bread; Snacks2: Vegetable Wraps + Rice
teen,female,tall,normal,gym,muscle-gain,high,vegetarian,Mon: Leg Press; Tue: Squat Rack; Wed: Pull-up Bar; Thu: Leg Press; Fri: Bench Press; Sat: Squat Rack; Sun: Pull-up Bar,Breakfast: Tofu Stir Fry + Veggies; Lunch: Chickpeas + Quinoa; Snacks: Nuts + Smoothie; Dinner: Tofu Stir Fry + Veggies; Breakfast2: Nuts + Smoothie; Lunch2: Paneer + Brown Rice; Snacks2: Chickpeas + Quinoa
young,male,short,obese,home,muscle-gain,high,vegetarian,Mon: Push-ups; Tue: Push-ups; Wed: Lunges; Thu: Resistance Bands; Fri: Lunges; Sat: Squats; Sun: Pull-ups,Breakfast: Nuts + Smoothie; Lunch: Paneer + Brown Rice; Snacks: Chickpeas + Quinoa; Dinner: Nuts + Smoothie; Breakfast2: Tofu Stir Fry + Veggies; Lunch2: Chickpeas + Quinoa; Snacks2: Paneer + Brown Rice
middle,male,short,overweight,gym,flexibility,high,vegetarian,Mon: Stretching; Tue: Core Machines; Wed: Yoga Machines; Thu: Pilates Machines; Fri: Stretching; Sat: Pilates Machines; Sun: Balance Boards,Breakfast: Oatmeal + Soy Milk; Lunch: Salads + Tofu; Snacks: Veg Stir Fry + Rice; Dinner: Fruit + Yogurt; Breakfast2: Fruit + Yogurt; Lunch2: Oatmeal + Soy Milk; Snacks2: Salads + Tofu
teen,female,tall,normal,gym,stamina,high,vegan,Mon: Elliptical; Tue: Jump Rope; Wed: Stair Climber; Thu: Stair Climber; Fri: Elliptical; Sat: Circuit Training; Sun: Jump Rope,Breakfast: Veg Wrap + Rice; Lunch: Fruit + Nuts; Snacks: Veggie Soup + Bread; Dinner: Veggie Soup + Bread; Breakfast2: Fruit + Nuts; Lunch2: Smoothie Bowl; Snacks2: Veg Wrap + Rice
middle,female,medium,obese,gym,muscle-gain,high,non-vegetarian,Mon: Deadlift; Tue: Pull-up Bar; Wed: Leg Press; Thu: Leg Press; Fri: Pull-up Bar; Sat: Bench Press; Sun: Bench Press,Breakfast: Fish Stir Fry + Veggies; Lunch: Eggs + Quinoa; Snacks: Protein Shake + Nuts; Dinner: Chicken Breast + Brown Rice; Breakfast2: Eggs + Quinoa; Lunch2: Fish Stir Fry + Veggies; Snacks2: Chicken Breast + Brown Rice
teen,female,short,obese,gym,muscle-gain,low,non-vegetarian,Mon: Bench Press; Tue: Deadlift; Wed: Pull-up Bar; Thu: Deadlift; Fri: Leg Press; Sat: Pull-up Bar; Sun: Bench Press,Breakfast: Fish Stir Fry + Veggies; Lunch: Protein Shake + Nuts; Snacks: Protein Shake + Nuts; Dinner: Eggs + Quinoa; Breakfast2: Fish Stir Fry + Veggies; Lunch2: Chicken Breast + Brown Rice; Snacks2: Chicken Breast + Brown Rice
senior,female,short,normal,gym,weight-loss,medium,vegetarian,Mon: Cross Trainer; Tue: Cross Trainer; Wed: Rowing Machine; Thu: Battle Ropes; Fri: Spinning; Sat: Spinning; Sun: Battle Ropes,Breakfast: Lentil Soup + Veggies; Lunch: Oats + Skim Milk + Banana; Snacks: Fruit + Nuts; Dinner: Oats + Skim Milk + Banana; Breakfast2: Vegetable Salad + Quinoa; Lunch2: Vegetable Salad + Quinoa; Snacks2: Lentil Soup + Veggies
young,female,medium,normal,gym,stamina,high,non-vegetarian,Mon: Elliptical; Tue: HIIT Treadmill; Wed: HIIT Treadmill; Thu: Stair Climber; Fri: Elliptical; Sat: Circuit Training; Sun: Circuit Training,Breakfast: Fish Soup + Veggies; Lunch: Egg Omelette + Toast; Snacks: Grilled Chicken + Rice; Dinner: Fruit + Nuts; Breakfast2: Grilled Chicken + Rice; Lunch2: Fish Soup + Veggies; Snacks2: Egg Omelette + Toast
young,female,short,underweight,gym,muscle-gain,high,vegan,Mon: Bench Press; Tue: Leg Press; Wed: Deadlift; Thu: Bench Press; Fri: Pull-up Bar; Sat: Pull-up Bar; Sun: Squat Rack,Breakfast: Tempeh Stir Fry + Veggies; Lunch: Chickpeas + Brown Rice; Snacks: Nuts + Smoothie; Dinner: Tempeh Stir Fry + Veggies; Breakfast2: Tofu + Quinoa; Lunch2: Chickpeas + Brown Rice; Snacks2: Tofu + Quinoa
senior,male,tall,obese,gym,muscle-gain,high,vegan,Mon: Deadlift; Tue: Squat Rack; Wed: Bench Press; Thu: Leg Press; Fri: Squat Rack; Sat: Leg Press; Sun: Pull-up Bar,Breakfast: Tempeh Stir Fry + Veggies; Lunch: Tofu + Quinoa; Snacks: Chickpeas + Brown Rice; Dinner: Nuts + Smoothie; Breakfast2: Nuts + Smoothie; Lunch2: Tofu + Quinoa; Snacks2: Tempeh Stir Fry + Veggies
teen,female,short,underweight,gym,weight-loss,medium,non-vegetarian,Mon: Battle Ropes; Tue: Spinning; Wed: Cross Trainer; Thu: Rowing Machine; Fri: Treadmill HIIT; Sat: Rowing Machine; Sun: Battle Ropes,Breakfast: Chicken + Rice + Veg; Lunch: Protein Shake + Nuts; Snacks: Eggs + Oats + Milk; Dinner: Chicken + Rice + Veg; Breakfast2: Protein Shake + Nuts; Lunch2: Eggs + Oats + Milk; Snacks2: Fish + Sweet Potato
senior,female,medium,underweight,gym,flexibility,low,non-vegetarian,Mon: Yoga Machines; Tue: Core Machines; Wed: Pilates Machines; Thu: Balance Boards; Fri: Core Machines; Sat: Pilates Machines; Sun: Stretching,Breakfast: Eggs + Oats; Lunch: Protein Shake + Nuts; Snacks: Fish + Veg Stir Fry; Dinner: Chicken Salad + Quinoa; Breakfast2: Chicken Salad + Quinoa; Lunch2: Eggs + Oats; Snacks2: Fish + Veg Stir Fry
young,female,medium,normal,home,weight-loss,low,non-vegetarian,Mon: Jumping Jacks; Tue: Bodyweight Circuit; Wed: Jumping Jacks; Thu: Bodyweight Circuit; Fri: Burpees; Sat: High Knees; Sun: Burpees,Breakfast: Fish + Sweet Potato; Lunch: Protein Shake + Nuts; Snacks: Chicken + Rice + Veg; Dinner: Eggs + Oats + Milk; Breakfast2: Fish + Sweet Potato; Lunch2: Chicken + Rice + Veg; Snacks2: Eggs + Oats + Milk
middle,male,medium,obese,home,weight-loss,low,vegan,Mon: Mountain Climbers; Tue: Burpees; Wed: High Knees; Thu: Bodyweight Circuit; Fri: High Knees; Sat: Jumping Jacks; Sun: Jumping Jacks,Breakfast: Fruit + Nuts; Lunch: Lentil Salad + Veg; Snacks: Tofu Soup + Veggies; Dinner: Tofu Soup + Veggies; Breakfast2: Oatmeal + Almond Milk; Lunch2: Lentil Salad + Veg; Snacks2: Oatmeal + Almond Milk
middle,female,short,overweight,home,muscle-gain,medium,vegan,Mon: Push-ups; Tue: Pull-ups; Wed: Squats; Thu: Lunges; Fri: Resistance Bands; Sat: Resistance Bands; Sun: Lunges,Breakfast: Tofu + Quinoa; Lunch: Tempeh Stir Fry + Veggies; Snacks: Tempeh Stir Fry + Veggies; Dinner: Chickpeas + Brown Rice; Breakfast2: Nuts + Smoothie; Lunch2: Chickpeas + Brown Rice; Snacks2: Nuts + Smoothie
teen,male,short,normal,gym,stamina,low,non-vegetarian,Mon: Elliptical; Tue: HIIT Treadmill; Wed: HIIT Treadmill; Thu: Jump Rope; Fri: Stair Climber; Sat: Circuit Training; Sun: Circuit Training,Breakfast: Fish Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Egg Omelette + Toast; Dinner: Grilled Chicken + Rice; Breakfast2: Grilled Chicken + Rice; Lunch2: Fruit + Nuts; Snacks2: Egg Omelette + Toast
senior,male,short,obese,home,flexibility,medium,non-vegetarian,Mon: Yoga Flow; Tue: Pilates Mat; Wed: Stretching; Thu: Stretching; Fri: Pilates Mat; Sat: Balance Exercises; Sun: Mobility Drills,Breakfast: Protein Shake + Nuts; Lunch: Fish + Veg Stir Fry; Snacks: Protein Shake + Nuts; Dinner: Eggs + Oats; Breakfast2: Eggs + Oats; Lunch2: Chicken Salad + Quinoa; Snacks2: Fish + Veg Stir Fry
teen,female,short,normal,gym,muscle-gain,medium,vegan,Mon: Bench Press; Tue: Squat Rack; Wed: Leg Press; Thu: Bench Press; Fri: Deadlift; Sat: Pull-up Bar; Sun: Squat Rack,Breakfast: Nuts + Smoothie; Lunch: Tempeh Stir Fry + Veggies; Snacks: Nuts + Smoothie; Dinner: Chickpeas + Brown Rice; Breakfast2: Chickpeas + Brown Rice; Lunch2: Tofu + Quinoa; Snacks2: Tempeh Stir Fry + Veggies
teen,male,short,normal,gym,stamina,high,vegetarian,Mon: Stair Climber; Tue: Circuit Training; Wed: Stair Climber; Thu: Elliptical; Fri: HIIT Treadmill; Sat: HIIT Treadmill; Sun: Elliptical,Breakfast: Vegetable Wraps + Rice; Lunch: Vegetable Soup + Bread; Snacks: Smoothie + Oats; Dinner: Vegetable Soup + Bread; Breakfast2: Smoothie + Oats; Lunch2: Fruit + Nuts; Snacks2: Vegetable Wraps + Rice
teen,female,tall,underweight,gym,stamina,low,non-vegetarian,Mon: Circuit Training; Tue: HIIT Treadmill; Wed: Elliptical; Thu: Elliptical; Fri: Jump Rope; Sat: Circuit Training; Sun: Jump Rope,Breakfast: Egg Omelette + Toast; Lunch: Egg Omelette + Toast; Snacks: Fruit + Nuts; Dinner: Grilled Chicken + Rice; Breakfast2: Fruit + Nuts; Lunch2: Grilled Chicken + Rice; Snacks2: Fish Soup + Veggies
middle,male,short,underweight,gym,flexibility,high,vegetarian,Mon: Yoga Machines; Tue: Yoga Machines; Wed: Pilates Machines; Thu: Stretching; Fri: Balance Boards; Sat: Balance Boards; Sun: Core Machines,Breakfast: Fruit + Yogurt; Lunch: Oatmeal + Soy Milk; Snacks: Veg Stir Fry + Rice; Dinner: Fruit + Yogurt; Breakfast2: Oatmeal + Soy Milk; Lunch2: Salads + Tofu; Snacks2: Veg Stir Fry + Rice
senior,male,short,overweight,home,weight-loss,low,vegan,Mon: Bodyweight Circuit; Tue: Jumping Jacks; Wed: Mountain Climbers; Thu: High Knees; Fri: Bodyweight Circuit; Sat: Jumping Jacks; Sun: High Knees,Breakfast: Fruit + Nuts; Lunch: Tofu Soup + Veggies; Snacks: Oatmeal + Almond Milk; Dinner: Tofu Soup + Veggies; Breakfast2: Lentil Salad + Veg; Lunch2: Fruit + Nuts; Snacks2: Oatmeal + Almond Milk
teen,male,medium,underweight,gym,muscle-gain,high,vegetarian,Mon: Squat Rack; Tue: Bench Press; Wed: Leg Press; Thu: Deadlift; Fri: Bench Press; Sat: Pull-up Bar; Sun: Deadlift,Breakfast: Nuts + Smoothie; Lunch: Paneer + Brown Rice; Snacks: Chickpeas + Quinoa; Dinner: Chickpeas + Quinoa; Breakfast2: Paneer + Brown Rice; Lunch2: Tofu Stir Fry + Veggies; Snacks2: Nuts + Smoothie
middle,male,short,overweight,gym,flexibility,high,vegan,Mon: Yoga Machines; Tue: Pilates Machines; Wed: Pilates Machines; Thu: Core Machines; Fri: Stretching; Sat: Core Machines; Sun: Yoga Machines,Breakfast: Fruit + Almond Yogurt; Lunch: Oatmeal + Soy Milk; Snacks: Salads + Tofu; Dinner: Oatmeal + Soy Milk; Breakfast2: Fruit + Almond Yogurt; Lunch2: Veg Stir Fry + Rice; Snacks2: Salads + Tofu
senior,male,short,underweight,gym,stamina,high,vegetarian,Mon: Stair Climber; Tue: Stair Climber; Wed: Circuit Training; Thu: Elliptical; Fri: Jump Rope; Sat: HIIT Treadmill; Sun: Jump Rope,Breakfast: Smoothie + Oats; Lunch: Fruit + Nuts; Snacks: Fruit + Nuts; Dinner: Smoothie + Oats; Breakfast2: Vegetable Soup + Bread; Lunch2: Vegetable Wraps + Rice; Snacks2: Vegetable Soup + Bread
middle,female,tall,overweight,gym,flexibility,high,vegan,Mon: Pilates Machines; Tue: Balance Boards; Wed: Yoga Machines; Thu: Yoga Machines; Fri: Stretching; Sat: Pilates Machines; Sun: Core Machines,Breakfast: Veg Stir Fry + Rice; Lunch: Fruit + Almond Yogurt; Snacks: Salads + Tofu; Dinner: Salads + Tofu; Breakfast2: Fruit + Almond Yogurt; Lunch2: Veg Stir Fry + Rice; Snacks2: Oatmeal + Soy Milk
middle,female,tall,normal,home,muscle-gain,medium,non-vegetarian,Mon: Pull-ups; Tue: Lunges; Wed: Resistance Bands; Thu: Squats; Fri: Push-ups; Sat: Squats; Sun: Pull-ups,Breakfast: Protein Shake + Nuts; Lunch: Eggs + Quinoa; Snacks: Chicken Breast + Brown Rice; Dinner: Fish Stir Fry + Veggies; Breakfast2: Eggs + Quinoa; Lunch2: Fish Stir Fry + Veggies; Snacks2: Protein Shake + Nuts
senior,female,medium,normal,home,weight-loss,medium,vegan,Mon: Jumping Jacks; Tue: Jumping Jacks; Wed: High Knees; Thu: Burpees; Fri: High Knees; Sat: Mountain Climbers; Sun: Burpees,Breakfast: Tofu Soup + Veggies; Lunch: Oatmeal + Almond Milk; Snacks: Fruit + Nuts; Dinner: Tofu Soup + Veggies; Breakfast2: Oatmeal + Almond Milk; Lunch2: Lentil Salad + Veg; Snacks2: Fruit + Nuts
senior,female,medium,underweight,home,weight-loss,low,non-vegetarian,Mon: Bodyweight Circuit; Tue: Mountain Climbers; Wed: Jumping Jacks; Thu: Jumping Jacks; Fri: High Knees; Sat: Bodyweight Circuit; Sun: Burpees,Breakfast: Protein Shake + Nuts; Lunch: Eggs + Oats + Milk; Snacks: Chicken + Rice + Veg; Dinner: Protein Shake + Nuts; Breakfast2: Fish + Sweet Potato; Lunch2: Chicken + Rice + Veg; Snacks2: Fish + Sweet Potato
middle,female,short,normal,gym,weight-loss,medium,vegetarian,Mon: Battle Ropes; Tue: Spinning; Wed: Cross Trainer; Thu: Battle Ropes; Fri: Cross Trainer; Sat: Treadmill HIIT; Sun: Treadmill HIIT,Breakfast: Lentil Soup + Veggies; Lunch: Vegetable Salad + Quinoa; Snacks: Lentil Soup + Veggies; Dinner: Oats + Skim Milk + Banana; Breakfast2: Fruit + Nuts; Lunch2: Oats + Skim Milk + Banana; Snacks2: Vegetable Salad + Quinoa
senior,female,short,obese,gym,stamina,high,non-vegetarian,Mon: Jump Rope; Tue: Circuit Training; Wed: HIIT Treadmill; Thu: Stair Climber; Fri: Jump Rope; Sat: Elliptical; Sun: Elliptical,Breakfast: Fish Soup + Veggies; Lunch: Fish Soup + Veggies; Snacks: Egg Omelette + Toast; Dinner: Grilled Chicken + Rice; Breakfast2: Egg Omelette + Toast; Lunch2: Fruit + Nuts; Snacks2: Grilled Chicken + Rice
young,female,tall,overweight,gym,stamina,medium,non-vegetarian,Mon: Stair Climber; Tue: Stair Climber; Wed: Jump Rope; Thu: HIIT Treadmill; Fri: Circuit Training; Sat: HIIT Treadmill; Sun: Elliptical,Breakfast: Fruit + Nuts; Lunch: Grilled Chicken + Rice; Snacks: Fish Soup + Veggies; Dinner: Grilled Chicken + Rice; Breakfast2: Egg Omelette + Toast; Lunch2: Fish Soup + Veggies; Snacks2: Egg Omelette + Toast
